Category,1970s_Avg,2020s_Avg,Difference
Farm-level eggs,1.366666666666667,41.2,39.833333333333336
Farm-level soybeans,0.6666666666666671,7.580000000000001,6.913333333333334
Farm-level vegetables,2.033333333333333,6.9,4.866666666666667
Farm-level cattle,7.7,11.48,3.7800000000000002
Farm-level wheat,4.283333333333333,7.519999999999999,3.2366666666666655
Wholesale poultry,1.5833333333333333,3.8600000000000003,2.2766666666666673
Wholesale wheat flour,4.566666666666666,6.279999999999999,1.713333333333333
Unprocessed foodstuffs and feedstuffs,5.616666666666667,7.019999999999999,1.4033333333333315
Wholesale beef,8.416666666666666,8.4,-0.01666666666666572
Processed foods and feeds,5.349999999999999,5.08,-0.2699999999999987
Wholesale pork,5.083333333333333,4.8,-0.2833333333333332
Wholesale fats and oils,9.733333333333333,8.46,-1.2733333333333317
Finished consumer foods,7.616666666666667,5.42,-2.196666666666667
Farm-level milk,9.683333333333334,5.540000000000001,-4.143333333333333
Farm-level fruit,9.566666666666666,4.82,-4.746666666666666
Wholesale dairy,8.333333333333334,3.56,-4.773333333333333
