Category,Avg_Inflation,Volatility,Max_Spike,Worst_Year
Farm-level eggs,41.2,72.77760644593911,163.1,2022
Farm-level cattle,11.48,10.285523807760109,22.0,2023
Wholesale fats and oils,8.46,24.0724531363133,40.2,2021
Wholesale beef,8.4,11.834061010490016,25.8,2021
Farm-level soybeans,7.580000000000001,26.17579034145865,47.2,2021
Farm-level wheat,7.519999999999999,30.600849661406464,44.5,2021
Unprocessed foodstuffs and feedstuffs,7.019999999999999,17.568636828166266,26.7,2022
Farm-level vegetables,6.9,25.47871660818103,51.4,2022
Wholesale wheat flour,6.279999999999999,14.14238310893889,23.3,2022
Farm-level milk,5.540000000000001,20.638871093158173,36.7,2022
Finished consumer foods,5.42,5.268491245128912,14.2,2022
Processed foods and feeds,5.08,7.473419565366312,14.0,2022
Farm-level fruit,4.82,7.816456997898729,18.1,2022
Wholesale pork,4.8,8.66342888237677,15.9,2021
Wholesale poultry,3.8600000000000003,15.533125892749341,20.4,2021
Wholesale dairy,3.56,8.983763131338671,18.3,2022
