Category,Year,Percent_Change,Decade
Unprocessed foodstuffs and feedstuffs,1974,5.2,1970
Unprocessed foodstuffs and feedstuffs,1975,1.3,1970
Unprocessed foodstuffs and feedstuffs,1976,-0.8,1970
Unprocessed foodstuffs and feedstuffs,1977,0.9,1970
Unprocessed foodstuffs and feedstuffs,1978,12.6,1970
Unprocessed foodstuffs and feedstuffs,1979,14.5,1970
Unprocessed foodstuffs and feedstuffs,1980,4.6,1980
Unprocessed foodstuffs and feedstuffs,1981,-0.7,1980
Unprocessed foodstuffs and feedstuffs,1982,-3.8,1980
Unprocessed foodstuffs and feedstuffs,1983,1.8,1980
Unprocessed foodstuffs and feedstuffs,1984,2.8,1980
Unprocessed foodstuffs and feedstuffs,1985,-9.5,1980
Unprocessed foodstuffs and feedstuffs,1986,-1.7,1980
Unprocessed foodstuffs and feedstuffs,1987,3.2,1980
Unprocessed foodstuffs and feedstuffs,1988,10.3,1980
Unprocessed foodstuffs and feedstuffs,1989,4.8,1980
Unprocessed foodstuffs and feedstuffs,1990,1.7,1990
Unprocessed foodstuffs and feedstuffs,1991,-6.7,1990
Unprocessed foodstuffs and feedstuffs,1992,-0.4,1990
Unprocessed foodstuffs and feedstuffs,1993,3.1,1990
Unprocessed foodstuffs and feedstuffs,1994,-1.8,1990
Unprocessed foodstuffs and feedstuffs,1995,-0.7,1990
Unprocessed foodstuffs and feedstuffs,1996,14.8,1990
Unprocessed foodstuffs and feedstuffs,1997,-7.7,1990
Unprocessed foodstuffs and feedstuffs,1998,-7.4,1990
Unprocessed foodstuffs and feedstuffs,1999,-5.0,1990
Unprocessed foodstuffs and feedstuffs,2000,1.5,2000
Unprocessed foodstuffs and feedstuffs,2001,5.9,2000
Unprocessed foodstuffs and feedstuffs,2002,-6.2,2000
Unprocessed foodstuffs and feedstuffs,2003,14.1,2000
Unprocessed foodstuffs and feedstuffs,2004,11.9,2000
Unprocessed foodstuffs and feedstuffs,2005,-3.4,2000
Unprocessed foodstuffs and feedstuffs,2006,-2.8,2000
Unprocessed foodstuffs and feedstuffs,2007,23.0,2000
Unprocessed foodstuffs and feedstuffs,2008,11.4,2000
Unprocessed foodstuffs and feedstuffs,2009,-17.7,2000
Unprocessed foodstuffs and feedstuffs,2010,13.3,2010
Unprocessed foodstuffs and feedstuffs,2011,23.6,2010
Unprocessed foodstuffs and feedstuffs,2012,4.2,2010
Unprocessed foodstuffs and feedstuffs,2013,1.9,2010
Unprocessed foodstuffs and feedstuffs,2014,4.9,2010
Unprocessed foodstuffs and feedstuffs,2015,-13.7,2010
Unprocessed foodstuffs and feedstuffs,2016,-10.5,2010
Unprocessed foodstuffs and feedstuffs,2017,2.9,2010
Unprocessed foodstuffs and feedstuffs,2018,-1.9,2010
Unprocessed foodstuffs and feedstuffs,2019,0.9,2010
Unprocessed foodstuffs and feedstuffs,2020,-3.6,2020
Unprocessed foodstuffs and feedstuffs,2021,25.3,2020
Unprocessed foodstuffs and feedstuffs,2022,26.7,2020
Unprocessed foodstuffs and feedstuffs,2023,-10.3,2020
Unprocessed foodstuffs and feedstuffs,2024,-3.0,2020
Processed foods and feeds,1974,18.9,1970
Processed foods and feeds,1975,-2.4,1970
Processed foods and feeds,1976,-5.1,1970
Processed foods and feeds,1977,2.8,1970
Processed foods and feeds,1978,6.5,1970
Processed foods and feeds,1979,11.4,1970
Processed foods and feeds,1980,11.6,1980
Processed foods and feeds,1981,-0.9,1980
Processed foods and feeds,1982,-4.4,1980
Processed foods and feeds,1983,3.6,1980
Processed foods and feeds,1984,2.0,1980
Processed foods and feeds,1985,-7.9,1980
Processed foods and feeds,1986,-1.1,1980
Processed foods and feeds,1987,3.1,1980
Processed foods and feeds,1988,10.4,1980
Processed foods and feeds,1989,3.9,1980
Processed foods and feeds,1990,-0.4,1990
Processed foods and feeds,1991,-1.9,1990
Processed foods and feeds,1992,-0.4,1990
Processed foods and feeds,1993,1.8,1990
Processed foods and feeds,1994,1.9,1990
Processed foods and feeds,1995,0.0,1990
